artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
CHAKA DEMUS & PLIERS,2,1,6RQkaOWddQmiLLJqSgnTbm,https://i.scdn.co/image/ce04fdfe35f2b813d0170e326be889bfb1e5e432,200,134
CHAKA KHAN,3,1,6mQfAAqZGBzIfrmlZCeaYT,https://i.scdn.co/image/a0479364ccc57e753c1f917d6d728dacfef6a48b,200,198
CHANCE THE RAPPER,1,1,1anyVhU62p31KFi8MEzkbf,https://i.scdn.co/image/ff31d16413f7b9d6385947f81532f54c83128592,160,160
CHARLENE,1,1,0qk8MxMzgnfFECvDO3cc0X,https://i.scdn.co/image/8aef59172eecae8e30d2c57c34b96dd20c3a9543,64,96
CHARLES & EDDIE,2,1,5rIhaCHkbFVvLJpKHWwOJD,https://i.scdn.co/image/2d97f1353d28c843e81f156f3177efe5fe83a7bd,200,202
CHARLES AZNAVOUR,4,1,2hgP9Ap2tc10R5jrQaEpMT,https://i.scdn.co/image/5dc25b1f25a27c3f636bf9422b7890e2cecd18b2,200,300
CHARLI XCX,1,1,25uiPmTg16RbhZWAqwLBy5,https://i.scdn.co/image/220bf02d3a7f3075ee43d7b3effc6ac8350cbb43,160,160
CHARLIE PUTH,3,2,6VuMaDnrHyPL1p4EHjYLi7,https://i.scdn.co/image/804e7f1b44b32d4705f6bd7739a08385e8c57e20,160,160
CHEF,1,1,2yQf6b8hxahZaT5dHlWaB1,https://i.scdn.co/image/ec484a0823825e8526189d7da7f15d498e8fc02d,200,200
CHEMICAL BROTHERS,2,2,1GhPHrq36VKCY3ucVaZCfo,https://i.scdn.co/image/195cff95245ac76fb094ae3ebafa163bdfa7ecc0,160,160
CHER,15,4,72OaDtakiy6yFqkt4TsiFt,https://i.scdn.co/image/470651a5292400c9305e5515f84d812c651520cc,200,113
CHER LLOYD,1,1,4m4SfDVbF5wxrwEjDKgi4k,https://i.scdn.co/image/68693cea1bc7b31853f82f4cd25a4b8613d35b89,160,160
CHERYL,6,5,3NyNPJaemMYsL14DK2tO01,https://i.scdn.co/image/61f210d5c0244690c9178e51f4d37dd7d4503f7c,200,200
